QuotaAmount,StartDate,OwnerName,Username
150000,2016-01-01,Chris Riley,trailhead9.ub20k5i9t8ou@example.com
167400,2016-02-01,Chris Riley,trailhead9.ub20k5i9t8ou@example.com
155000,2016-03-01,Chris Riley,trailhead9.ub20k5i9t8ou@example.com
132000,2016-01-01,Harold Campbell,trailhead14.jibpbwvuy67t@example.com
200000,2016-02-01,Harold Campbell,trailhead14.jibpbwvuy67t@example.com
180000,2016-03-01,Harold Campbell,trailhead14.jibpbwvuy67t@example.com
110000,2016-01-01,Jessica Nichols,trailhead19.d1fxj2goytkp@example.com
100000,2016-02-01,Jessica Nichols,trailhead19.d1fxj2goytkp@example.com
145000,2016-03-01,Jessica Nichols,trailhead19.d1fxj2goytkp@example.com
135000,2016-01-01,Catherine Brown,trailhead16.kojyepokybge@example.com
145000,2016-02-01,Catherine Brown,trailhead16.kojyepokybge@example.com
180000,2016-03-01,Catherine Brown,trailhead16.kojyepokybge@example.com
190000,2016-01-01,Kelly Frazier,trailhead7.zdcsy4ax10mr@example.com
200000,2016-02-01,Kelly Frazier,trailhead7.zdcsy4ax10mr@example.com
100000,2016-03-01,Kelly Frazier,trailhead7.zdcsy4ax10mr@example.com
110000,2016-01-01,Dennis Howard,trailhead4.wfokpckfroxp@example.com
115000,2016-02-01,Dennis Howard,trailhead4.wfokpckfroxp@example.com
125000,2016-03-01,Dennis Howard,trailhead4.wfokpckfroxp@example.com
